country,n,band,taus,band_size,effect_threshold_epsilon,delta_tau_point,delta_tau_ci_low,delta_tau_ci_high,delta_tau_sig,delta_tau_p_boot
india,12677,low,"0.1,0.2",2,0.030660061374400218,0.326,0.25,0.35,True,0.0
india,12677,low_mid,"0.3,0.4",2,0.030660061374400218,0.12600000000000003,0.05000000000000002,0.15,True,0.0
india,12677,mid,0.5,1,0.030660061374400218,0.015992826763441714,0.0017645873448031474,0.018777435488019047,True,0.03
india,12677,mid_high,"0.6,0.7",2,0.030660061374400218,0.33,0.25000000000000006,0.25000000000000006,True,0.0
india,12677,high,"0.8,0.9",2,0.030660061374400218,0.12999999999999995,0.04999999999999999,0.04999999999999999,True,0.0
us,19758,low,"0.1,0.2",2,0.028291402578217884,0.302,0.25,0.25,True,0.0
us,19758,low_mid,"0.3,0.4",2,0.028291402578217884,0.10200000000000001,0.05000000000000002,0.05000000000000002,True,0.0
us,19758,mid,0.5,1,0.028291402578217884,0.48,0.4,0.4,True,0.02
us,19758,mid_high,"0.6,0.7",2,0.028291402578217884,0.33,0.25000000000000006,0.25000000000000006,True,0.0
us,19758,high,"0.8,0.9",2,0.028291402578217884,0.12999999999999995,0.04999999999999999,0.04999999999999999,True,0.0
