country,n,cutpoint_next,deltaP_point,prob_diff_threshold,deltaP_ci_low,deltaP_ci_high,deltaP_sig,deltaP_p_boot,deltaP_p_boot_holm,deltaP_sig_holm
india,12677,2,0.0,0.02,,,,,,
india,12677,3,-0.017931968487031935,0.02,,,,,,
india,12677,4,-0.02320484129070255,0.02,,,,,,
india,12677,2,,0.02,0.0,0.0,False,2.0,1.0,False
india,12677,3,,0.02,-0.05928846651296824,-0.0038487718152165782,True,0.03,0.09,False
india,12677,4,,0.02,-0.010432597600827225,-0.0008900500688175728,True,0.03,0.06,False
us,19758,2,0.0,0.02,,,,,,
us,19758,3,1.9285806285296303e-10,0.02,,,,,,
us,19758,4,9.642908693763275e-11,0.02,,,,,,
us,19758,2,,0.02,0.0,0.0,False,2.0,1.0,False
us,19758,3,,0.02,0.0,0.0,False,1.98,1.0,False
us,19758,4,,0.02,0.0,0.0,False,1.98,1.0,False
